score;completeness;rescuebot_action;rescuebot_location;matei_action;matei_location;world_nr;tick_nr
0;0.0;;(22, 11);;(22, 12);1;0
0;0.0;;(22, 11);;(22, 12);1;1
0;0.0;;(22, 11);;(22, 12);1;2
0;0.0;;(22, 11);;(22, 12);1;3
0;0.0;;(22, 11);;(22, 12);1;4
0;0.0;;(22, 11);;(22, 12);1;5
0;0.0;;(22, 11);;(22, 12);1;6
0;0.0;;(22, 11);;(22, 12);1;7
0;0.0;;(22, 11);;(22, 12);1;8
0;0.0;;(22, 11);;(22, 12);1;9
0;0.0;;(22, 11);;(22, 12);1;10
0;0.0;;(22, 11);;(22, 12);1;11
0;0.0;;(22, 11);;(22, 12);1;12
0;0.0;;(22, 11);;(22, 12);1;13
0;0.0;;(22, 11);;(22, 12);1;14
0;0.0;;(22, 11);;(22, 12);1;15
0;0.0;;(22, 11);;(22, 12);1;16
0;0.0;;(22, 11);;(22, 12);1;17
0;0.0;;(22, 11);;(22, 12);1;18
0;0.0;;(22, 11);;(22, 12);1;19
0;0.0;;(22, 11);;(22, 12);1;20
0;0.0;;(22, 11);;(22, 12);1;21
0;0.0;;(22, 11);;(22, 12);1;22
0;0.0;;(22, 11);;(22, 12);1;23
0;0.0;;(22, 11);;(22, 12);1;24
0;0.0;;(22, 11);;(22, 12);1;25
0;0.0;;(22, 11);;(22, 12);1;26
0;0.0;;(22, 11);;(22, 12);1;27
0;0.0;;(22, 11);;(22, 12);1;28
0;0.0;;(22, 11);;(22, 12);1;29
0;0.0;;(22, 11);;(22, 12);1;30
0;0.0;;(22, 11);;(22, 12);1;31
0;0.0;;(22, 11);;(22, 12);1;32
0;0.0;;(22, 11);;(22, 12);1;33
0;0.0;;(22, 11);;(22, 12);1;34
0;0.0;;(22, 11);;(22, 12);1;35
0;0.0;;(22, 11);;(22, 12);1;36
0;0.0;;(22, 11);;(22, 12);1;37
0;0.0;;(22, 11);;(22, 12);1;38
0;0.0;;(22, 11);;(22, 12);1;39
0;0.0;;(22, 11);;(22, 12);1;40
0;0.0;;(22, 11);;(22, 12);1;41
